stop_date,count
38356,1
38375,1
38400,1
38403,1
38407,1
38425,1
38440,1
38446,1
38547,2
38551,2
38552,1
38557,1
38582,1
38598,1
38606,2
38615,1
38624,2
38625,3
38626,28
38627,25
38628,22
38629,18
38630,23
38631,26
38632,27
38633,40
38634,12
38635,38
38636,18
38637,26
38638,14
38639,11
38640,12
38641,30
38642,25
38643,30
38644,26
38645,26
38646,31
38647,29
38648,33
38649,36
38650,8
38651,24
38652,28
38653,35
38654,44
38655,37
38656,23
38657,31
38658,22
38659,40
38660,59
38661,48
38662,37
38663,34
38664,39
38665,29
38666,26
38667,37
38668,32
38669,32
38670,22
38671,31
38672,33
38673,30
38674,20
38675,34
38676,23
38677,21
38678,22
38679,44
38680,12
38681,30
38682,42
38683,36
38684,41
38685,15
38686,18
38687,22
38688,34
38689,40
38690,18
38691,20
38692,24
38693,30
38694,22
38695,11
38696,13
38697,37
38698,30
38699,23
38700,17
38701,30
38702,15
38703,32
38704,29
38705,17
38706,36
38707,20
38708,34
38709,17
38710,18
38711,1
38712,21
38713,24
38714,20
38715,23
38716,19
38717,38
38718,21
38719,41
38720,11
38721,41
38722,28
38723,26
38724,38
38725,35
38726,59
38727,38
38728,31
38729,43
38730,29
38731,16
38732,51
38733,37
38734,29
38735,25
38736,23
38737,39
38738,45
38739,42
38740,10
38741,28
38742,33
38743,22
38744,39
38745,47
38746,42
38747,39
38748,15
38749,20
38750,44
38751,14
38752,29
38753,19
38754,32
38755,22
38756,27
38757,44
38758,23
38759,28
38760,6
38761,23
38762,28
38763,44
38764,19
38765,39
38766,30
38767,23
38768,31
38769,34
38770,22
38771,20
38772,23
38773,26
38774,33
38775,37
38776,22
38777,32
38778,19
38779,18
38780,27
38781,22
38782,36
38783,29
38784,26
38785,38
38786,43
38787,34
38788,19
38789,34
38790,37
38791,34
38792,33
38793,22
38794,22
38795,32
38796,33
38797,38
38798,44
38799,41
38800,25
38801,20
38802,24
38803,34
38804,23
38805,38
38806,22
38807,32
38808,21
38809,41
38810,49
38811,50
38812,26
38813,20
38814,25
38815,17
38816,40
38817,41
38818,18
38819,22
38820,15
38821,37
38822,31
38823,26
38824,22
38825,21
38826,30
38827,22
38828,28
38829,31
38830,44
38831,28
38832,20
38833,30
38834,35
38835,39
38836,35
38837,21
38838,19
38839,33
38840,22
38841,42
38842,22
38843,37
38844,15
38845,25
38846,26
38847,22
38848,24
38849,19
38850,17
38851,16
38852,21
38853,26
38854,21
38855,28
38856,24
38857,23
38858,53
38859,31
38860,25
38861,30
38862,44
38863,35
38864,46
38865,52
38866,43
38867,40
38868,46
